Year	Segment	Category	Sub-Category	Sales	Profit
2014	Consumer	Office Supplies	Paper	16.45	5.55
2014	Home Office	Office Supplies	Labels	11.78	4.27
2014	Home Office	Office Supplies	Storage	272.74	-64.77
2014	Home Office	Office Supplies	Binders	3.54	-5.49
2014	Consumer	Office Supplies	Art	19.54	4.88
2014	Consumer	Office Supplies	Paper	19.44	9.33
2014	Corporate	Office Supplies	Art	12.78	5.24
2014	Home Office	Furniture	Chairs	"2,573.82"	746.41
2014	Home Office	Office Supplies	Binders	609.98	274.49
2014	Home Office	Office Supplies	Art	5.48	1.48
2014	Home Office	Technology	Phones	391.98	113.67
2014	Home Office	Technology	Phones	755.96	204.11
2014	Home Office	Office Supplies	Fasteners	31.12	0.31
2014	Home Office	Office Supplies	Paper	6.54	3.01
2014	Consumer	Furniture	Furnishings	76.73	-53.71
2014	Consumer	Office Supplies	Binders	10.43	-18.25
2014	Consumer	Office Supplies	Art	9.34	1.17
2014	Consumer	Technology	Accessories	31.20	9.75
2014	Corporate	Office Supplies	Labels	2.89	1.36
2014	Corporate	Furniture	Furnishings	51.94	21.30
2014	Consumer	Furniture	Furnishings	9.94	3.08
2014	Corporate	Office Supplies	Envelopes	11.36	5.34
2014	Corporate	Office Supplies	Envelopes	50.94	25.47
2014	Corporate	Technology	Accessories	646.74	258.70
2014	Corporate	Office Supplies	Binders	5.64	2.71
2014	Corporate	Office Supplies	Storage	572.58	34.35
2014	Consumer	Furniture	Chairs	545.94	87.35
2014	Consumer	Office Supplies	Storage	"1,325.85"	238.65
2014	Consumer	Furniture	Bookcases	334.00	3.93
2014	Consumer	Office Supplies	Art	19.90	6.57
2014	Consumer	Office Supplies	Paper	37.41	13.09
2014	Consumer	Office Supplies	Binders	3.44	-2.52
2014	Corporate	Furniture	Bookcases	61.96	-53.29
2014	Consumer	Technology	Accessories	149.95	65.98
2014	Consumer	Furniture	Furnishings	127.10	28.60
2014	Consumer	Technology	Phones	124.20	-31.05
2014	Consumer	Office Supplies	Binders	18.59	-13.63
2014	Consumer	Office Supplies	Labels	30.07	10.15
2014	Corporate	Office Supplies	Appliances	64.86	6.49
2014	Consumer	Office Supplies	Binders	32.34	-23.72
2014	Consumer	Office Supplies	Paper	56.06	19.62
2014	Consumer	Office Supplies	Envelopes	108.72	36.69
